"No.","Time","Source","Destination","Protocol","Length","CNameString","Info"
"10594","409.014196","10.10.5.102","10.10.5.1","KRB5","241","ainn","AS-REQ"
"10603","409.018461","10.10.5.102","10.10.5.1","KRB5","242","binhnq2","AS-REQ"
"10612","409.021842","10.10.5.102","10.10.5.1","KRB5","245","thaint10","AS-REQ"
"10621","409.027449","10.10.5.102","10.10.5.1","KRB5","313","thaint10","AS-REQ"
"10630","409.035486","10.10.5.102","10.10.5.1","KRB5","246","quangnh14","AS-REQ"
"10639","409.039213","10.10.5.102","10.10.5.1","KRB5","245","phuocnd1","AS-REQ"
"10648","409.042487","10.10.5.102","10.10.5.1","KRB5","244","manhnt1","AS-REQ"
"10657","409.046261","10.10.5.102","10.10.5.1","KRB5","244","namnp18","AS-REQ"
"10666","409.051999","10.10.5.102","10.10.5.1","KRB5","247","huyennt171","AS-REQ"
"10675","409.056767","10.10.5.102","10.10.5.1","KRB5","245","anhntn72","AS-REQ"
"10684","409.059528","10.10.5.102","10.10.5.1","KRB5","245","huongntl4","AS-REQ"
"10693","409.064065","10.10.5.102","10.10.5.1","KRB5","244","cungts2","AS-REQ"
"10702","409.069413","10.10.5.102","10.10.5.1","KRB5","243","haivm6","AS-REQ"
"10711","409.074635","10.10.5.102","10.10.5.1","KRB5","245","hungnp13","AS-REQ"
"10720","409.080032","10.10.5.102","10.10.5.1","KRB5","245","chiendd3","AS-REQ"
"10729","409.085056","10.10.5.102","10.10.5.1","KRB5","245","nhungqth","AS-REQ"
"10738","409.089309","10.10.5.102","10.10.5.1","KRB5","244","hoalt34","AS-REQ"
"10747","409.096846","10.10.5.102","10.10.5.1","KRB5","242","luubh","AS-REQ"
"10756","409.112831","10.10.5.102","10.10.5.1","KRB5","245","khanhnn25","AS-REQ"
"10765","409.123494","10.10.5.102","10.10.5.1","KRB5","245","anhtt203","AS-REQ"
"10774","409.132072","10.10.5.102","10.10.5.1","KRB5","314","anhtt203","AS-REQ"
"10783","409.139295","10.10.5.102","10.10.5.1","KRB5","246","uyentt111","AS-REQ"
"10792","409.143692","10.10.5.102","10.10.5.1","KRB5","243","vannt90","AS-REQ"
"10801","409.149233","10.10.5.102","10.10.5.1","KRB5","245","nghiant45","AS-REQ"
"10810","409.154247","10.10.5.102","10.10.5.1","KRB5","244","anhnt606","AS-REQ"
"10819","409.158568","10.10.5.102","10.10.5.1","KRB5","246","hoangnx12","AS-REQ"
"10828","409.163712","10.10.5.102","10.10.5.1","KRB5","243","datdq10","AS-REQ"
"10837","409.168448","10.10.5.102","10.10.5.1","KRB5","244","hungnk16","AS-REQ"
"10846","409.177929","10.10.5.102","10.10.5.1","KRB5","245","thuynt274","AS-REQ"
"10855","409.182136","10.10.5.102","10.10.5.1","KRB5","243","khoaha4","AS-REQ"
"10864","409.188894","10.10.5.102","10.10.5.1","KRB5","313","khoaha4","AS-REQ"
"10873","409.198244","10.10.5.102","10.10.5.1","KRB5","245","hungnd92","AS-REQ"
"10882","409.204041","10.10.5.102","10.10.5.1","KRB5","247","thanhnt169","AS-REQ"
"10891","409.210983","10.10.5.102","10.10.5.1","KRB5","244","thongdm4","AS-REQ"
"10900","409.218062","10.10.5.102","10.10.5.1","KRB5","246","huyenpt45","AS-REQ"
"10909","409.226573","10.10.5.102","10.10.5.1","KRB5","245","hieunc19","AS-REQ"
"10918","409.231979","10.10.5.102","10.10.5.1","KRB5","243","vuha10","AS-REQ"
"10927","409.237615","10.10.5.102","10.10.5.1","KRB5","243","dainc1","AS-REQ"
"10936","409.243227","10.10.5.102","10.10.5.1","KRB5","244","ngannh5","AS-REQ"
"10945","409.247822","10.10.5.102","10.10.5.1","KRB5","242","hadh13","AS-REQ"
"10954","409.251918","10.10.5.102","10.10.5.1","KRB5","245","khanhtv2","AS-REQ"
"10963","409.258211","10.10.5.102","10.10.5.1","KRB5","243","thudt5","AS-REQ"
"10972","409.266645","10.10.5.102","10.10.5.1","KRB5","244","khoidv1","AS-REQ"
"10981","409.270897","10.10.5.102","10.10.5.1","KRB5","245","minhnq20","AS-REQ"
"10990","409.274869","10.10.5.102","10.10.5.1","KRB5","243","hungdk","AS-REQ"
"10999","409.280930","10.10.5.102","10.10.5.1","KRB5","243","khoanv7","AS-REQ"
"11008","409.285068","10.10.5.102","10.10.5.1","KRB5","245","minhtt47","AS-REQ"
"11017","409.289499","10.10.5.102","10.10.5.1","KRB5","243","manhhd8","AS-REQ"
"11026","409.295915","10.10.5.102","10.10.5.1","KRB5","248","phuongnt258","AS-REQ"
"11035","409.301438","10.10.5.102","10.10.5.1","KRB5","245","nhilnt12","AS-REQ"
